word,weight
account thank,0.7354406922051603
account think,0.1470354973043544
account tiktok,0.03168867796983372
account time,-0.21772135563704928
account transfer,-0.09098972510077213
account try,-0.2939058886761309
account unable,0.10232380434312704
account unfreeze,-0.845441105915118
account uninstalle,-0.16076148193881656
account update,0.13389432839015397
account use,-0.7010650502030851
account ve,0.002146844624713069
account verification,0.06635289801421282
account verify,0.16098789197122748
account viral,0.2966278929411905
account want,-0.6500039823808906
account way,-0.32496059764506563
account will,-0.29998766906567126
account work,-0.4327776296638599
account year,-0.3902969848281851
acct,-1.092958768747422
accurate,0.5486747143435444
accuse,-0.14282284509137602
acha,1.6983291917208847
acha app,0.7239899914241382
acha hai,-0.43327331757677556
achcha,0.19791108729385365
achcha hai,-0.3743781904882298
achha,0.9905028475879212
achha hai,0.11473734288682125
achi,1.5440342084736105
achi app,0.5307560889573353
achieve,0.7837582101261557
achievement,-0.045785031985940895
acount,-0.4613371446512874
acquire,-0.009782596940271296
act,-0.7194196703672988
act like,-0.9019066830201942
action,-1.428154568017326
action take,-0.15579563472021069
activate,-1.5730019816580918
activate account,-0.7827259013038665
activate number,0.0036049994897415236
activate viber,-0.32330832398678966
activation,-1.2332500864543172
activation code,-0.19687827210073772
activation fail,-1.0035856980459084
active,0.3144225804788977
active status,-0.3937431835503214
actively,-0.6204595181536274
activity,-0.8665980317122888
actor,-0.6143443811952835
actual,-2.0679167425621876
actually,-0.10663414620199445
actually good,1.1005706550867285
actually not,-0.02020645662983465
actually read,-0.20722258633516863
actually use,-0.08699990612558793
actually want,-0.037782952895935085
actually work,0.16979630260488984
ad,-3.147809815504687
ad ad,-1.1368640086542283
ad annoying,0.3725507362568342
ad app,-1.7682284392372059
ad appear,-0.2805906605988895
ad article,-0.10651746482386092
ad automatically,-0.13851483468374498
ad bad,0.060817225941372934
ad bit,0.614613997624368
ad block,0.2265680192656199
ad break,-0.31156652954333647
ad chat,-1.1398420168142387
ad click,-0.7616692341273622
ad come,0.0558190400307422
ad cover,-0.3387522076004898
ad disturb,0.6702700430989447
ad fine,-0.30123156884554764
ad flip,-0.2553547256465782
ad force,-0.14486333735780424
ad free,0.945349981155066
ad game,-0.4273411144678327
ad get,-0.32506976747958327
ad go,-0.24213746915199003
ad good,0.42966283361191143
ad like,-0.6529388190905844
ad literally,-0.2571345141143718
ad long,0.8400161380715571
ad love,0.294054872291972
ad make,-0.9786652453205423
ad message,-0.561161444342056
ad minute,-0.5322719626127717
ad music,-0.4102481437179282
ad need,-0.3493657753711332
ad news,-0.831354952807031
ad not,0.5486008974423688
ad notification,0.2671423782419851
ad open,-0.18471117362663333
ad page,-0.4802814365510867
ad pay,-0.04276184607060733
ad play,-0.2767684467641881
ad pop,0.6878948127367491
ad popup,-0.26024884283782723
ad premium,0.08484463848007712
ad problem,1.079048504329346
ad revenue,-0.21289085797700683
ad row,-0.3235987845530505
ad ruin,-0.15354693604606223
ad second,-0.2229767074681808
ad show,0.17060864608372678
ad skip,-0.4636906166631042
ad song,-1.307477488410055
ad spam,-0.0886103028315462
ad start,-0.25246537364584903
ad take,-0.16342299428889073
ad thing,-0.12729992931265754
ad time,-0.21136514414120752
ad try,0.07025350410154788
ad video,-0.6483458659069143
ad want,0.11179219309021407
ad watch,-0.057219726736664644
ad way,-0.5080634324899318
ada,-1.0024222159560974
adapt,0.210460408836332
add,-1.6023214897161857
add account,-0.5641752236718409
add ad,-0.1324998317071552
add add,-0.014479476385620665
add ai,-0.5132742136097619
add annoying,0.171925645639297
add app,-0.1527958526978506
add come,-0.5511345190787901
add contact,-0.21999712593578788
add credit,-0.1976990846579997
add delete,1.07875266272094
add feature,0.7910175346489775
add free,0.6005080636659289
add friend,-2.7801677820437702
add game,-0.06341933055507082
add group,-0.28522641613131755
add like,0.5276356835462578
add movie,0.5435480512464195
add music,-0.4058840253167408
add new,-0.6369483999810233
add not,-0.1288850984950704
add number,-0.8323359694794453
add option,0.6300088619905341
add people,-0.3636508598414812
add phone,-1.5534879963260875
add random,-0.11378824043484889
add remove,-0.15698943392518425
add song,0.2919228961180478
add user,0.29984840302436616
add video,0.03068062849765348
addict,0.6711575404468286
addict game,0.0441136498905019
addicted,1.4197855077887749
addicting,0.5942087019643583
addiction,-0.2876899438351985
addictive,0.700307927955211
addictive game,0.2005549732949699
addition,0.078379503685064
additional,0.4600798863658498
additionally,0.1540845430239851
address,-0.5944738570000562
adfree,0.577121572872091
adjust,-0.6253773086942936
admin,-0.46198699761578593
admit,-0.06526199230129405
adorable,0.22255438113057838
adult,-0.7763418250572206
adult content,-0.7590933738434298
